Scan Type,State/Territory,All Scans,Executive Order Number,Executive Order Year Enacted,Executive Order Summary,Executive Order Last Topic tag(s),Executive Order Last Updated,Executive Order Record URL,Bill Number,Legislative Session,Bill Title,Bill Summary,Bill Action tag(s) [multi],Bill Action tag(s) text,Bill Topic Tag(s) [multi],Bill Topic Tag(s) text,Bill Status,Bill Link,Bill Last Updated,Bill Record URL
Executive Order,Alabama,Executive Order 9 (2015),Executive Order 9 (2015),2015,"EO 9 (2015) by Gov. Robert Bentley re: establishment of the Office of Broadband Development to advise and support on broadband accessibility, adoption and applications, as well as challenges, opportunities, funding, resources, programs, and public policies and procedures that enhance or hamper broadband deployment and usage",broadband,9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recxrXazIRI1FYDZY,,,,,,,,,,,,
Executive Order,Alabama,Executive Order 9 (2015),Executive Order 9 (2015),2015,"EO 9 (2015) by Gov. Robert Bentley re: establishment of the Office of Broadband Development to advise and support on broadband accessibility, adoption and applications, as well as challenges, opportunities, funding, resources, programs, and public policies and procedures that enhance or hamper broadband deployment and usage",broadband,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recxrXazIRI1FYDZY,,,,,,,,,,,,
Executive Order,Alaska,Administrative Order 298 (2018),Administrative Order 298 (2018),2018,AO 298 (2018) by Gov. Bill Walker re:  establishment of the Alaska Statewide Interoperability Governing Board to promote communications interoperability for disaster response,"interoperability, public safety, information technology",9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec2n3oAIAKnd6F9a,,,,,,,,,,,,
Executive Order,Alaska,Administrative Order 284 (2017),Administrative Order 284 (2017),2017,"AO 284 (2017) by Gov. Bill Walker re: centralization of IT functions and creation of CIO to implement uniform security standards; avoid duplication of efforts and redundancy by supporting and collaborating with executive branch agencies in the delivery of information technology services; and endeavor to lower operating costs, increase productivity, enhance security, and respond faster to changes in information technology business and investment priorities","administrative reorganization, information technology",9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recpoAZmvmtG8f5dv,,,,,,,,,,,,
Executive Order,Alaska,Administrative Order 298 (2018),Administrative Order 298 (2018),2018,AO 298 (2018) by Gov. Bill Walker re:  establishment of the Alaska Statewide Interoperability Governing Board to promote communications interoperability for disaster response,"interoperability, public safety, information technology",9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec2n3oAIAKnd6F9a,,,,,,,,,,,,
Executive Order,Alaska,Administrative Order 322 (2021),Administrative Order 322 (2021),2021,"AO 322 (2021) by Gov. Mike Dunleavy re: creation of the Broadband Expansion Task Force to  review and provide recommendations to the Governor on State of Alaska broadband goals and policies, guidelines for state involvement in broadband infrastructure development, and equitable use of state funds to assist in the buildout of broadband networks",broadband,9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recrYwJI1oX2CuFEB,,,,,,,,,,,,
Executive Order,Alaska,Administrative Order 284 (2017),Administrative Order 284 (2017),2017,"AO 284 (2017) by Gov. Bill Walker re: centralization of IT functions and creation of CIO to implement uniform security standards; avoid duplication of efforts and redundancy by supporting and collaborating with executive branch agencies in the delivery of information technology services; and endeavor to lower operating costs, increase productivity, enhance security, and respond faster to changes in information technology business and investment priorities","administrative reorganization, information technology",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recpoAZmvmtG8f5dv,,,,,,,,,,,,
Executive Order,Alaska,Administrative Order 322 (2021),Administrative Order 322 (2021),2021,"AO 322 (2021) by Gov. Mike Dunleavy re: creation of the Broadband Expansion Task Force to  review and provide recommendations to the Governor on State of Alaska broadband goals and policies, guidelines for state involvement in broadband infrastructure development, and equitable use of state funds to assist in the buildout of broadband networks",broadband,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recrYwJI1oX2CuFEB,,,,,,,,,,,,
Executive Order,American Samoa,Executive Order 007-2023 (2023),Executive Order 007-2023 (2023),2023,"EO 007-2023 (2023) by Gov. Lemanu P.S. Mauga re: establishment of the Territorial Broadband Coordination, Opportunities, Redevelopment, and Deployment Office and Broadband Steering Committee to promote access to (among other things) advance broadband network services, promote digital literacy, and increase broadband equity (replaced EO 006-2023)","broadband, administrative reorganization",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recLsAuYN1hHKVKMO,,,,,,,,,,,,
Executive Order,American Samoa,Executive Order 005-2021 (2021),Executive Order 005-2021 (2021),2021,EO 05-2021 (2021) by Gov. Lemanu P.S. Mauga re: establishment of a Technology Office to support more centralized and unified information technology services,"administrative reorganization, information technology",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recEWyjRsv6h40wAw,,,,,,,,,,,,
