period,topic,n
Late (2023–2025),Education,10
Late (2023–2025),Criminal/Legal System,8
Late (2023–2025),Civil Rights,6
Late (2023–2025),Public Health,5
Early (2019–2021),Public Safety,4
Late (2023–2025),Public Safety,4
Early (2019–2021),Criminal/Legal System,3
Early (2019–2021),Public Health,3
Late (2023–2025),Voting/Elections,3
Late (2023–2025),Data Privacy,2
Late (2023–2025),Emergency Management,2
Late (2023–2025),Labor/Workforce,2
Early (2019–2021),Blockchain,1
Early (2019–2021),Civil Rights,1
Early (2019–2021),Data Sharing,1
Late (2023–2025),Agriculture,1
Late (2023–2025),Blockchain,1
Late (2023–2025),Data Governance,1
Late (2023–2025),Infrastructure,1
Late (2023–2025),Transportation/Mobility,1
Late (2023–2025),Website/Portal,1
