state_territory,cdo,design,dst
Alabama,0,0,0
Alaska,0,0,0
American Samoa,0,0,0
Arizona,1,0,1
Arkansas,1,0,0
California,1,1,1
Colorado,1,1,1
Connecticut,1,1,1
Delaware,1,1,1
District of Columbia,1,0,0
Florida,1,0,0
Georgia,0,1,0
Guam,0,0,0
Hawaii,1,0,0
Idaho,0,0,0
Illinois,0,1,0
Indiana,1,0,0
Iowa,0,1,0
Kansas,1,0,0
Kentucky,0,0,0
Louisiana,0,1,0
Maine,1,0,0
Maryland,1,1,1
Massachusetts,1,1,1
Michigan,1,1,0
Minnesota,0,0,1
Mississippi,0,0,0
Missouri,1,0,0
Montana,1,0,0
Nebraska,1,0,0
Nevada,1,0,0
New Hampshire,0,0,0
New Jersey,1,1,1
New Mexico,0,0,0
New York,0,0,1
North Carolina,1,0,1
North Dakota,1,0,0
Northern Mariana Islands,0,0,0
Ohio,1,1,0
Oklahoma,0,1,0
Oregon,0,0,0
Pennsylvania,0,1,1
Puerto Rico,0,0,0
Rhode Island,1,1,1
South Carolina,0,0,0
South Dakota,0,0,0
Tennessee,1,0,0
Texas,1,0,0
U.S. Virgin Islands,0,0,0
Utah,0,1,0
Vermont,1,1,1
Virginia,0,1,0
Washington,1,0,0
West Virginia,0,0,0
Wisconsin,0,0,0
Wyoming,1,0,0
