state_territory,eo,ai,cdo,dst,dsir,design,infra,any_policy
Alabama,1,0,0,0,0,0,0,1
Alaska,1,0,0,0,0,0,0,1
American Samoa,1,0,0,0,0,0,0,1
Arizona,0,1,1,1,0,0,1,1
Arkansas,0,1,1,0,0,0,1,1
California,1,1,1,1,1,1,1,1
Colorado,1,1,1,1,1,1,1,1
Connecticut,1,1,1,1,0,1,1,1
Delaware,1,1,1,1,0,1,1,1
District of Columbia,1,0,1,0,0,0,1,1
Florida,1,1,1,0,0,0,1,1
Georgia,1,1,0,0,0,1,1,1
Guam,1,0,0,0,0,0,0,1
Hawaii,1,1,1,0,0,0,1,1
Idaho,1,1,0,0,0,0,0,1
Illinois,1,1,0,0,0,1,1,1
Indiana,1,1,1,0,0,0,1,1
Iowa,1,0,0,0,0,1,1,1
Kansas,1,0,1,0,0,0,1,1
Kentucky,1,0,0,0,0,0,0,1
Louisiana,1,0,0,0,0,1,1,1
Maine,0,1,1,0,0,0,1,1
Maryland,1,1,1,1,0,1,1,1
Massachusetts,1,1,1,1,1,1,1,1
Michigan,1,1,1,0,0,1,1,1
Minnesota,1,1,0,1,1,0,1,1
Mississippi,1,0,0,0,0,0,0,1
Missouri,0,0,1,0,0,0,1,0
Montana,1,0,1,0,0,0,1,1
Nebraska,0,0,1,0,0,0,1,0
Nevada,1,0,1,0,0,0,1,1
New Hampshire,1,1,0,0,0,0,0,1
New Jersey,1,1,1,1,1,1,1,1
New Mexico,1,0,0,0,0,0,0,1
New York,1,1,0,1,1,0,1,1
North Carolina,1,1,1,1,1,0,1,1
North Dakota,1,1,1,0,0,0,1,1
Northern Mariana Islands,1,0,0,0,0,0,0,1
Ohio,1,1,1,0,0,1,1,1
Oklahoma,1,0,0,0,0,1,1,1
Oregon,1,0,0,0,0,0,0,1
Pennsylvania,1,0,0,1,0,1,1,1
Puerto Rico,0,0,0,0,0,0,0,0
Rhode Island,1,0,1,1,0,1,1,1
South Carolina,1,0,0,0,0,0,0,1
South Dakota,0,0,0,0,0,0,0,0
Tennessee,0,1,1,0,0,0,1,1
Texas,1,1,1,0,0,0,1,1
U.S. Virgin Islands,0,1,0,0,0,0,0,1
Utah,1,1,0,0,0,1,1,1
Vermont,1,1,1,1,0,1,1,1
Virginia,1,1,0,0,0,1,1,1
Washington,1,1,1,0,0,0,1,1
West Virginia,1,1,0,0,0,0,0,1
Wisconsin,1,0,0,0,0,0,0,1
Wyoming,1,0,1,0,0,0,1,1
